X,Y,Z,T
0.40045357,0.46992492,0.04213333,0.40625
0.55644035,0.38441467,0.07940292,0.40625
0.72213936,0.29553222,0.05789948,0.40625
0.88603115,0.20701599,0.05591583,0.40625
1.05547428,0.11656189,0.0205574,0.40625
0.09060955,0.59906005,0.08595276,0.4375
0.25398827,0.51130676,0.06996918,0.4375
0.41122055,0.42541503,0.09991074,0.4375
0.57497597,0.33738708,0.08645249,0.4375
0.73358059,0.25091552,0.11089707,0.4375
0.9010849,0.16133117,0.08327103,0.4375
1.06896496,0.07125854,0.06403351,0.4375
0.12012005,0.55345153,0.05184555,0.4375
0.28083515,0.46633911,0.06118775,0.4375
0.44123554,0.37956237,0.06588745,0.4375
0.60751915,0.29031372,0.0484581,0.4375
0.76952648,0.20280456,0.04891968,0.4375
0.93060589,0.11531066,0.06389618,0.4375
1.09465218,0.02693176,0.05717468,0.4375
0.13417339,0.5142517,0.05700684,0.46875
0.29481125,0.42718505,0.0663414,0.46875
0.45639134,0.34001159,0.06319046,0.46875
0.62126923,0.25129699,0.05342102,0.46875
0.78356362,0.16371154,0.05118942,0.46875
0.95001221,0.07424926,0.03796387,0.46875
0.15328312,0.46688842,0.03837204,0.46875
0.31543827,0.37919616,0.04011154,0.46875
0.47766304,0.29173278,0.03453446,0.46875
0.63643265,0.2051239,0.0586586,0.46875
0.80315113,0.11585998,0.03401947,0.46875
0.96944523,0.02638244,0.02248764,0.46875
0.00466633,0.51651001,0.07028961,0.46875
0.16895867,0.42819213,0.05767441,0.46875
0.32439327,0.34317016,0.0887413,0.46875
0.49325752,0.25309753,0.05525208,0.46875
0.65600872,0.16539001,0.04935074,0.46875
0.8191309,0.07717895,0.05212402,0.46875
0.02059937,0.47644043,0.07009125,0.5
0.18179226,0.38911438,0.07594299,0.5
0.34343815,0.30192565,0.07089234,0.5
0.50553799,0.2141571,0.07573319,0.5
0.66948986,0.12597656,0.06307221,0.5
0.83534718,0.0367279,0.05192185,0.5
0.03443337,0.43112182,0.09633637,0.5
0.20362568,0.34109497,0.05593109,0.5
0.36237049,0.25483703,0.0688057,0.5
0.52904701,0.1654663,0.04836655,0.5
0.68706417,0.0793457,0.06904221,0.5
0.06742954,0.38960266,0.03123474,0.5
0.23006725,0.30172729,0.02998734,0.5
0.38772297,0.21575927,0.05092621,0.5
0.5503149,0.12779235,0.05290222,0.53125
0.70439339,0.04304504,0.09371948,0.53125
0.08349609,0.35964965,0.01864243,0.53125
0.24100495,0.27375793,0.03860092,0.53125
0.40637493,0.18489074,0.02400208,0.53125
0.56422329,0.09881591,0.04403305,0.53125
0.7362957,0.00738525,0,0.53125
0.10272026,0.3212738,0.02277756,0.53125
0.26594162,0.23353576,0.0098877,0.53125
0.42927742,0.1453247,0.00757218,0.53125
0.58820915,0.0588684,0.02251053,0.53125
0.11721134,0.28494262,0.05337906,0.5625
0.28350735,0.19583129,0.03245163,0.5625
0.44589043,0.10824584,0.02705765,0.5625
0.60790634,0.02038574,0.03445053,0.5625
