X,Y,Z
1.466184,0.337863,0.117737
1.322618,0.27845,0.130862
1.323878,0.27846,0.117279
1.181092,0.219093,0.122993
1.18182,0.219079,0.11463
1.036971,0.159879,0.147437
1.037663,0.159845,0.138922
0.897347,0.100469,0.117247
0.897347,0.100469,0.117247
0.754777,0.041391,0.128211
0.754777,0.041391,0.128211
3.426451,1.219648,0.082756
3.27489,1.157582,0.115173
3.280635,1.158741,0.081655
3.125533,1.096098,0.138457
3.131921,1.097338,0.09988
2.982505,1.035905,0.125186
2.987871,1.036902,0.091601
2.833227,0.97464,0.15346
2.839681,0.975783,0.111548
2.690762,0.914712,0.140994
2.694739,0.915379,0.114163
2.543878,0.854083,0.159434
2.548908,0.854876,0.124124
2.399711,0.793978,0.16136
2.404541,0.794685,0.126021
2.257307,0.734143,0.150719
2.261509,0.734709,0.11862
2.114297,0.674312,0.147
2.116828,0.67462,0.126775
1.971742,0.61453,0.139461
1.974159,0.614789,0.11922
1.828311,0.554771,0.142432
1.829648,0.554893,0.130666
1.684927,0.495089999,0.146963
1.686939,0.495239,0.128334
1.542881,0.43555,0.140224
1.5434,0.435578,0.135154
1.399688,0.376025,0.146824
1.400826,0.376064,0.135037
1.257389,0.316616,0.146475
1.258162,0.316624,0.137965
1.116222,0.257245,0.13438
1.117099,0.257228999,0.124074
0.97303,0.198016,0.148931
0.973434,0.197996,0.143851
0.831261,0.138774,0.147098
0.831515,0.138751999,0.143659
0.690293,0.079491,0.135141
0.690517,0.079462,0.131851
3.38308,1.267454,0.083868
3.233113,1.205765,0.110297
3.240259,1.207235999,0.068357
3.084632,1.144522,0.131568
3.09181,1.145945,0.087958
2.939574,1.084073,0.135084
2.945707,1.08524,0.096462
2.794675,1.023721999,0.139431
2.797758,1.024282,0.119287
2.649324,0.963368,0.148911
2.6538,0.964139,0.11852
2.505621,0.903368,0.149138
2.509674,0.904026,0.1205
2.361439,0.84332,0.153578
2.366238,0.844047,0.118235
2.219442,0.783734,0.145507
2.222303,0.784133,0.12351
2.075905,0.723974,0.150424
2.078845,0.724347,0.126775
1.933859,0.664446,0.14454
1.935871,0.664673,0.127573
1.790557,0.604838,0.150927
1.792457,0.605022999,0.134095
1.650304,0.545578999,0.131752
1.652653,0.545767,0.109843
1.506383,0.486034,0.147044
1.508094,0.486138999,0.130192
1.364484,0.426739,0.145857
1.365299,0.426771,0.137351
1.223288,0.36749,0.137847
1.223894,0.3675,0.13113
1.081963,0.308329999,0.133777
1.082392,0.308325,0.128698
0.938929,0.249187999,0.149904
0.9392,0.249176,0.146468
0.798649,0.189968999,0.132154
0.798649,0.189968999,0.132154
0.656522,0.130971,0.14181
0.656754,0.130944,0.138369
3.330782,1.312346,0.103454
3.182279,1.250967,0.122235
3.189074,1.252392,0.082059
3.036606,1.190304,0.127726
3.043175,1.191632,0.087509
2.889392,1.129391,0.144399
2.896271,1.130727,0.100739
2.745866,1.069283,0.140168
2.75124,1.070281,0.104761
2.601209,1.008997,0.144298
2.604392,1.009559,0.122501
2.456607,0.948817,0.150756
2.460604,0.949483,0.122262
2.315058,0.88921,0.13726
2.318694,0.889776,0.110227
2.17198,0.829373999,0.135393
2.174794,0.82978,0.113544
2.027454,0.769414,0.147137
2.030566,0.769822,0.121849
1.885391,0.709861,0.141257
1.887959,0.710162,0.119373
1.742437,0.65028,0.145122
1.743751,0.650414,0.133353
1.600899,0.590915,0.138325
1.602683,0.591067,0.121481
1.458258,0.531502,0.143205
1.459947,0.531613,0.126352
1.316191,0.472162,0.14336
1.317786,0.472233,0.126498
1.17392,0.412928999,0.148953
1.175274,0.412957,0.133724
1.032884,0.353728,0.140847
1.033729,0.353723,0.130688
0.891115,0.294575999,0.142792
0.891648,0.294556,0.135918
0.749622,0.235436,0.14179
0.749622,0.235436,0.14179
0.608012,0.17636,0.14397
0.60824,0.176334,0.140531
3.302996,1.360476,0.075085
3.15675,1.299543,0.080633
3.005266,1.237594,0.120141
3.010728,1.238718,0.086576
2.859783,1.176952,0.124859
2.8648,1.177945,0.092888
2.716608,1.116834,0.116798
2.721176,1.117699,0.086575
2.569406,1.056081,0.13909
2.575766,1.057228,0.095347
2.426524,0.996164,0.13329
2.430047,0.996765,0.10806
2.282514,0.936059,0.135697
2.287466,0.936850999,0.098713
2.138708,0.876142,0.141053
2.142595,0.876719,0.110728
1.996434,0.816524,0.136524
1.998511,0.816806,0.119565
1.853054,0.756774,0.141563
1.854635,0.756965999,0.128017
1.710053,0.697149,0.145632
1.713064,0.69747,0.118518
1.567641,0.637701,0.147692
1.569242,0.637844,0.132488
1.425781,0.5783,0.144424
1.427475,0.578419,0.12742
1.282887,0.518902,0.153744
1.284471,0.51898,0.136879
1.142083,0.459646,0.141919
1.142821,0.459665,0.133558
1.001672,0.400379,0.12505
1.002091,0.400379,0.119971
0.859577,0.341243,0.132292
0.859968,0.341231,0.127211
0.717068,0.282237,0.148257
0.717558,0.282204,0.141379
3.137022,1.352294,0.079823
2.986976,1.290572,0.109974
2.993251,1.291891,0.071382
2.838595,1.229290999,0.13256
2.845976,1.230785,0.085492
2.694127,1.168924999,0.133826
2.701243,1.170306,0.086714
2.551191,1.108948,0.127644
2.556081,1.109852999,0.093982
